fname,label,location,risk_level
128802,Acoustic_guitar,Home,Normal
8462,Acoustic_guitar,Home,Normal
41750,Acoustic_guitar,Home,Normal
252380,Acoustic_guitar,Home,Normal
18483,Acoustic_guitar,Home,Normal
68968,Acoustic_guitar,Home,Normal
183757,Acoustic_guitar,Home,Normal
183718,Acoustic_guitar,Home,Normal
58031,Acoustic_guitar,Home,Normal
58085,Acoustic_guitar,Home,Normal
58101,Acoustic_guitar,Home,Normal
251849,Acoustic_guitar,Home,Normal
183814,Acoustic_guitar,Home,Normal
361578,Acoustic_guitar,Home,Normal
41748,Acoustic_guitar,Home,Normal
252548,Acoustic_guitar,Home,Normal
16456,Acoustic_guitar,Home,Normal
153989,Acoustic_guitar,Home,Normal
251835,Acoustic_guitar,Home,Normal
182959,Acoustic_guitar,Home,Normal
41657,Acoustic_guitar,Home,Normal
128803,Acoustic_guitar,Home,Normal
153946,Acoustic_guitar,Home,Normal
183066,Acoustic_guitar,Home,Normal
251070,Acoustic_guitar,Home,Normal
38459,Acoustic_guitar,Home,Normal
182977,Acoustic_guitar,Home,Normal
182998,Acoustic_guitar,Home,Normal
8481,Acoustic_guitar,Home,Normal
251108,Acoustic_guitar,Home,Normal
251041,Acoustic_guitar,Home,Normal
251097,Acoustic_guitar,Home,Normal
251034,Acoustic_guitar,Home,Normal
16458,Acoustic_guitar,Home,Normal
182983,Acoustic_guitar,Home,Normal
251089,Acoustic_guitar,Home,Normal
183792,Acoustic_guitar,Home,Normal
183800,Acoustic_guitar,Home,Normal
58034,Acoustic_guitar,Home,Normal
18481,Acoustic_guitar,Home,Normal
58052,Acoustic_guitar,Home,Normal
183744,Acoustic_guitar,Home,Normal
153987,Acoustic_guitar,Home,Normal
58068,Acoustic_guitar,Home,Normal
183077,Acoustic_guitar,Home,Normal
251843,Acoustic_guitar,Home,Normal
154007,Acoustic_guitar,Home,Normal
18461,Acoustic_guitar,Home,Normal
153997,Acoustic_guitar,Home,Normal
58106,Acoustic_guitar,Home,Normal
252554,Acoustic_guitar,Home,Normal
128804,Acoustic_guitar,Home,Normal
18469,Acoustic_guitar,Home,Normal
361576,Acoustic_guitar,Home,Normal
82926,Acoustic_guitar,Home,Normal
153994,Acoustic_guitar,Home,Normal
415379,Acoustic_guitar,Home,Normal
251109,Acoustic_guitar,Home,Normal
183763,Acoustic_guitar,Home,Normal
251172,Acoustic_guitar,Home,Normal
153991,Acoustic_guitar,Home,Normal
251035,Acoustic_guitar,Home,Normal
182932,Acoustic_guitar,Home,Normal
183748,Acoustic_guitar,Home,Normal
251130,Acoustic_guitar,Home,Normal
128807,Acoustic_guitar,Home,Normal
8586,Acoustic_guitar,Home,Normal
183037,Acoustic_guitar,Home,Normal
182952,Acoustic_guitar,Home,Normal
315656,Acoustic_guitar,Home,Normal
251018,Acoustic_guitar,Home,Normal
153953,Acoustic_guitar,Home,Normal
270602,Acoustic_guitar,Home,Normal
183815,Acoustic_guitar,Home,Normal
183821,Acoustic_guitar,Home,Normal
183072,Acoustic_guitar,Home,Normal
18459,Acoustic_guitar,Home,Normal
183742,Acoustic_guitar,Home,Normal
346493,Acoustic_guitar,Home,Normal
41745,Acoustic_guitar,Home,Normal
183733,Acoustic_guitar,Home,Normal
183028,Acoustic_guitar,Home,Normal
24280,Acoustic_guitar,Home,Normal
183729,Acoustic_guitar,Home,Normal
38464,Acoustic_guitar,Home,Normal
251061,Acoustic_guitar,Home,Normal
350047,Acoustic_guitar,Home,Normal
349978,Acoustic_guitar,Home,Normal
183780,Acoustic_guitar,Home,Normal
8391,Acoustic_guitar,Home,Normal
182968,Acoustic_guitar,Home,Normal
18487,Acoustic_guitar,Home,Normal
18437,Acoustic_guitar,Home,Normal
57911,Acoustic_guitar,Home,Normal
18474,Acoustic_guitar,Home,Normal
253767,Acoustic_guitar,Home,Normal
153936,Acoustic_guitar,Home,Normal
58105,Acoustic_guitar,Home,Normal
415377,Acoustic_guitar,Home,Normal
58058,Acoustic_guitar,Home,Normal
252556,Acoustic_guitar,Embassies,Potential Threat
58074,Acoustic_guitar,Embassies,Potential Threat
183808,Acoustic_guitar,Embassies,Potential Threat
251080,Acoustic_guitar,Embassies,Potential Threat
252419,Acoustic_guitar,Embassies,Potential Threat
58121,Acoustic_guitar,Embassies,Potential Threat
252382,Acoustic_guitar,Embassies,Potential Threat
182960,Acoustic_guitar,Embassies,Potential Threat
202224,Acoustic_guitar,Embassies,Potential Threat
3471,Acoustic_guitar,Embassies,Potential Threat
251037,Acoustic_guitar,Embassies,Potential Threat
153980,Acoustic_guitar,Embassies,Potential Threat
183791,Acoustic_guitar,Embassies,Potential Threat
128805,Acoustic_guitar,Embassies,Potential Threat
251885,Acoustic_guitar,Embassies,Potential Threat
41678,Acoustic_guitar,Embassies,Potential Threat
183750,Acoustic_guitar,Embassies,Potential Threat
153950,Acoustic_guitar,Embassies,Potential Threat
182946,Acoustic_guitar,Embassies,Potential Threat
361573,Acoustic_guitar,Embassies,Potential Threat
350087,Acoustic_guitar,Embassies,Potential Threat
57865,Acoustic_guitar,Embassies,Potential Threat
128798,Acoustic_guitar,Embassies,Potential Threat
58042,Acoustic_guitar,Embassies,Potential Threat
251047,Acoustic_guitar,Embassies,Potential Threat
58050,Acoustic_guitar,Embassies,Potential Threat
18438,Acoustic_guitar,Embassies,Potential Threat
58049,Acoustic_guitar,Embassies,Potential Threat
182935,Acoustic_guitar,Embassies,Potential Threat
153952,Acoustic_guitar,Embassies,Potential Threat
251187,Acoustic_guitar,Embassies,Potential Threat
252520,Acoustic_guitar,Embassies,Potential Threat
251149,Acoustic_guitar,Embassies,Potential Threat
251150,Acoustic_guitar,Embassies,Potential Threat
183039,Acoustic_guitar,Embassies,Potential Threat
8589,Acoustic_guitar,Embassies,Potential Threat
58037,Acoustic_guitar,Embassies,Potential Threat
